"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "Java Properties", "XML", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\features\share_location\bloc\sharelocation_bloc.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 134
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\features\share_location\bloc\sharelocation_event.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 37
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\features\share_location\bloc\sharelocation_state.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\features\share_location\share_location.dart", "Dart", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 280
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\main.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 122
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\utils\constants.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 25
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\utils\helpers.dart", "Dart", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 34, 195
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\utils\storage_acess.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 40
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\lib\utils\widgets\rectagle.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\pubspec.yaml", "YAML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 51
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 33, 2374, 13, 1, 19, 38, 185, 8, 125, 94, 4, 346, 378, 3618
